t_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
503569275,-0.284000,-0.913000,0.151000,11.740000,7.863000,12.824000,31.35
503579334,-0.238000,-0.928000,0.163000,13.145000,8.901000,11.954000,31.40
503587589,-0.237000,-0.917000,0.266000,20.412000,2.534000,10.076000,31.45
503594129,-0.278000,-0.904000,0.198000,14.748000,13.374000,12.214000,31.40
503602043,-0.330000,-0.857000,0.154000,18.260000,6.611000,11.099000,31.35
503612946,-0.347000,-0.822000,0.088000,13.496000,7.710000,11.145000,31.40
503624856,-0.289000,-0.882000,0.096000,12.015000,1.496000,11.695000,31.31
503637009,-0.250000,-0.907000,0.118000,12.061000,2.473000,9.221000,31.35
503646688,-0.217000,-0.884000,0.098000,14.061000,8.427000,6.122000,31.40
503652210,-0.272000,-0.907000,0.172000,14.321000,10.229000,6.901000,31.35
503663484,-0.276000,-0.882000,0.166000,13.634000,10.824000,4.519000,31.40
503670753,-0.301000,-0.874000,0.148000,11.588000,9.237000,3.634000,31.35
503685365,-0.316000,-0.842000,0.129000,10.641000,10.305000,2.977000,31.49
503694796,-0.323000,-0.856000,0.147000,8.198000,8.916000,3.298000,31.35
503705640,-0.313000,-0.883000,0.133000,5.496000,7.557000,1.267000,31.31
503715202,-0.328000,-0.880000,0.151000,4.153000,5.527000,1.252000,31.40
503723680,-0.318000,-0.881000,0.138000,2.977000,3.496000,1.023000,31.45
503734856,-0.292000,-0.883000,0.133000,1.969000,2.626000,0.076000,31.40
503745166,-0.289000,-0.888000,0.154000,1.710000,3.053000,-0.290000,31.45
503754481,-0.288000,-0.879000,0.152000,2.183000,3.771000,-0.595000,31.31
503761854,-0.293000,-0.875000,0.160000,2.000000,4.351000,-0.061000,31.35
503773907,-0.306000,-0.868000,0.151000,1.740000,3.313000,0.504000,31.40
503783914,-0.299000,-0.875000,0.159000,1.344000,2.809000,0.550000,31.35
503795920,-0.306000,-0.874000,0.155000,0.977000,2.382000,0.901000,31.40
503801767,-0.305000,-0.866000,0.163000,0.458000,1.878000,0.901000,31.35
503818262,-0.299000,-0.872000,0.155000,-0.244000,1.802000,0.397000,31.35
503828137,-0.307000,-0.870000,0.169000,-0.427000,1.038000,0.260000,31.31
503834476,-0.312000,-0.861000,0.177000,-0.687000,0.412000,0.092000,31.35
503846396,-0.317000,-0.852000,0.174000,-0.840000,-0.107000,0.275000,31.40
503856485,-0.301000,-0.863000,0.166000,-0.962000,0.092000,0.519000,31.45
503864427,-0.289000,-0.865000,0.163000,0.137000,1.527000,0.672000,31.40
503871759,-0.309000,-0.868000,0.159000,0.733000,2.473000,1.084000,31.45
503884125,-0.308000,-0.875000,0.162000,1.344000,2.550000,1.695000,31.31
503897615,-0.286000,-0.883000,0.154000,1.221000,3.191000,1.908000,31.45
503907276,-0.293000,-0.877000,0.157000,1.695000,4.794000,1.450000,31.31
503913220,-0.309000,-0.851000,0.166000,2.183000,5.618000,1.359000,31.40
503927554,-0.348000,-0.828000,0.171000,0.351000,4.489000,1.740000,31.35
503933195,-0.324000,-0.844000,0.177000,-2.198000,2.580000,2.046000,31.40
