t_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
1554617635,-0.772000,-0.007000,0.213000,17.115000,-1.191000,8.702000,33.33
1554626169,-0.821000,0.077000,0.187000,19.328000,-1.099000,6.718000,33.38
1554636665,-0.823000,0.118000,0.199000,17.450000,-1.115000,7.328000,33.33
1554649147,-0.840000,0.114000,0.239000,17.740000,1.603000,8.321000,33.38
1554654412,-0.827000,0.173000,0.135000,15.878000,-4.763000,6.092000,33.33
1554666201,-0.812000,0.218000,0.152000,8.015000,-8.718000,7.985000,33.38
1554676974,-0.811000,0.214000,0.149000,2.000000,-12.382000,8.626000,33.42
1554685517,-0.794000,0.147000,0.165000,-3.313000,-13.557000,7.588000,33.38
1554696358,-0.768000,0.073000,0.187000,-1.679000,-13.832000,8.718000,33.33
1554703525,-0.687000,0.057000,0.200000,5.695000,-6.916000,5.634000,33.38
1554716348,-0.689000,0.081000,0.191000,11.740000,5.344000,1.191000,33.33
1554724524,-0.815000,0.131000,0.188000,12.351000,8.962000,1.511000,33.38
1554736213,-0.890000,0.141000,0.208000,8.107000,-2.412000,5.969000,33.33
1554748273,-0.827000,0.128000,0.249000,7.725000,-13.725000,9.389000,33.38
1554756022,-0.797000,0.147000,0.261000,6.534000,-17.954000,10.382000,33.33
1554765823,-0.808000,0.163000,0.266000,3.863000,-25.527000,10.580000,33.28
1554776159,-0.808000,0.154000,0.260000,2.626000,-26.885000,11.908000,33.42
1554786150,-0.830000,0.126000,0.239000,3.237000,-21.664000,13.298000,33.38
1554793022,-0.786000,0.120000,0.233000,9.191000,-12.061000,12.611000,33.33
1554810744,-0.809000,0.152000,0.211000,14.076000,-0.565000,7.679000,33.38
1554818289,-0.861000,0.164000,0.181000,12.489000,2.748000,4.687000,33.42
1554826605,-0.872000,0.127000,0.239000,13.160000,6.046000,6.168000,33.28
1554833942,-0.827000,0.093000,0.197000,16.504000,7.298000,4.229000,33.33
1554851633,-0.746000,0.102000,0.163000,22.336000,15.252000,-0.046000,33.38
1554856729,-0.749000,0.115000,0.142000,29.252000,25.099000,-5.328000,33.33
1554866440,-0.786000,0.142000,0.140000,31.298000,29.542000,-9.817000,33.38
1554876248,-0.837000,0.168000,0.207000,37.466000,29.847000,-7.435000,33.42
1554886242,-0.847000,0.181000,0.188000,37.206000,30.641000,-6.901000,33.38
1554894620,-0.799000,0.169000,0.227000,36.397000,26.824000,-6.489000,33.33
1554901693,-0.750000,0.157000,0.246000,37.084000,27.817000,-7.405000,33.38
