t_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
586551861,0.182000,0.874000,0.257000,-29.344000,6.015000,-19.863000,32.20
586564315,0.151000,0.893000,0.257000,-29.328000,2.290000,-20.336000,32.06
586573537,0.153000,0.869000,0.246000,-29.130000,-1.130000,-21.099000,32.11
586576078,0.178000,0.856000,0.256000,-28.977000,-2.641000,-21.420000,32.11
586587211,0.160000,0.878000,0.234000,-27.237000,-1.466000,-21.435000,32.06
586602426,0.142000,0.886000,0.235000,-26.489000,-3.588000,-21.008000,32.11
586609038,0.137000,0.881000,0.197000,-25.695000,-6.397000,-20.290000,32.06
586616829,0.146000,0.869000,0.187000,-22.580000,-7.847000,-19.420000,32.11
586627245,0.142000,0.889000,0.176000,-19.908000,-9.435000,-18.641000,32.06
586636210,0.170000,0.895000,0.249000,-20.824000,-11.603000,-17.847000,32.20
586647982,0.207000,0.882000,0.275000,-20.519000,-12.550000,-15.191000,32.06
586654798,0.199000,0.912000,0.334000,-19.542000,-10.366000,-12.947000,32.11
586667991,0.154000,0.938000,0.340000,-20.290000,-13.328000,-10.229000,32.15
586679992,0.158000,0.917000,0.371000,-21.695000,-20.595000,-7.328000,32.11
586690098,0.182000,0.881000,0.322000,-21.008000,-25.420000,-5.908000,32.06
586695729,0.181000,0.896000,0.326000,-18.214000,-27.542000,-5.282000,32.20
586711133,0.157000,0.896000,0.318000,-15.725000,-33.466000,-5.695000,32.15
586717899,0.197000,0.870000,0.338000,-15.374000,-38.458000,-6.412000,32.11
586727941,0.224000,0.854000,0.352000,-11.573000,-37.786000,-7.374000,31.97
586737312,0.242000,0.861000,0.363000,-8.153000,-33.359000,-8.809000,32.11
586746124,0.223000,0.888000,0.380000,-8.504000,-31.649000,-8.550000,32.15
586756962,0.219000,0.895000,0.391000,-9.435000,-32.748000,-7.557000,32.11
586763476,0.220000,0.865000,0.377000,-8.473000,-33.634000,-7.878000,32.11
586775492,0.207000,0.815000,0.234000,-4.000000,-32.214000,-10.763000,32.11
586790763,0.231000,0.854000,0.230000,-1.221000,-27.145000,-15.069000,32.15
586799991,0.177000,0.891000,0.250000,1.099000,-25.206000,-18.046000,32.11
586808024,0.180000,0.882000,0.275000,1.832000,-27.038000,-19.282000,32.11
586818112,0.193000,0.867000,0.332000,3.069000,-26.275000,-19.740000,32.06
586829248,0.179000,0.886000,0.365000,4.122000,-23.359000,-19.924000,32.20
586837823,0.149000,0.897000,0.347000,4.901000,-23.344000,-18.473000,32.25
586850603,0.162000,0.890000,0.326000,5.145000,-23.481000,-17.878000,32.20
586860795,0.164000,0.891000,0.286000,5.176000,-21.344000,-17.374000,32.25
586871509,0.164000,0.913000,0.268000,5.267000,-18.214000,-17.115000,32.11
586877149,0.157000,0.934000,0.270000,4.733000,-16.840000,-17.176000,32.15
586884253,0.168000,0.915000,0.280000,4.931000,-14.229000,-17.298000,32.11
586898122,0.140000,0.887000,0.283000,5.145000,-11.420000,-16.901000,32.15
586908978,0.113000,0.919000,0.298000,4.779000,-11.542000,-17.069000,32.11
586919100,0.112000,0.931000,0.287000,3.908000,-13.771000,-17.298000,32.15
586925854,0.123000,0.915000,0.300000,3.878000,-15.328000,-17.115000,32.11
586940192,0.129000,0.919000,0.347000,4.397000,-14.336000,-17.634000,32.15
586950932,0.109000,0.926000,0.345000,3.405000,-15.115000,-16.763000,32.11
586956421,0.116000,0.889000,0.317000,3.069000,-15.374000,-16.092000,32.15
586967508,0.107000,0.908000,0.297000,3.008000,-15.389000,-15.847000,32.01
586980201,0.079000,0.932000,0.292000,2.565000,-14.992000,-15.557000,32.15
586987089,0.058000,0.917000,0.304000,2.626000,-18.168000,-16.046000,32.11
586993256,0.102000,0.904000,0.312000,3.954000,-21.450000,-18.168000,32.15
587008735,0.090000,0.922000,0.355000,6.107000,-23.176000,-20.611000,32.11
587018543,0.093000,0.930000,0.420000,7.298000,-24.992000,-20.534000,32.11
587027319,0.052000,0.922000,0.450000,7.893000,-28.809000,-20.244000,32.11
587038873,0.028000,0.948000,0.448000,8.214000,-38.321000,-19.084000,32.15
587052299,0.062000,0.953000,0.435000,6.519000,-47.435000,-17.481000,32.11
587057413,0.105000,0.950000,0.409000,7.145000,-50.565000,-14.702000,32.06
587068006,0.136000,0.934000,0.354000,7.893000,-45.344000,-12.137000,32.15
587080341,0.129000,0.959000,0.352000,9.756000,-35.588000,-9.817000,32.20
587088693,0.112000,1.008000,0.316000,8.611000,-28.565000,-7.420000,32.25
587095349,0.121000,0.969000,0.348000,7.802000,-21.374000,-4.122000,32.11
587107853,0.106000,0.988000,0.378000,6.260000,-14.443000,-1.985000,32.15
587121357,0.177000,0.965000,0.363000,4.702000,-6.718000,-2.550000,32.11
587131011,0.220000,0.947000,0.335000,3.527000,4.382000,-3.221000,32.15
587137833,0.153000,0.954000,0.328000,2.992000,11.084000,-3.099000,32.11
587149714,0.079000,0.941000,0.334000,0.473000,11.069000,-2.626000,32.15
587157745,0.070000,0.925000,0.335000,-0.855000,9.130000,-2.550000,32.11
587167519,0.064000,0.919000,0.320000,-0.595000,10.779000,-2.779000,32.15
587180068,0.059000,0.963000,0.324000,-1.985000,11.924000,-3.389000,32.20
587188950,0.084000,0.947000,0.326000,-3.985000,15.481000,-3.115000,32.25
587193832,0.088000,0.920000,0.317000,-4.733000,21.023000,-3.053000,32.11
587206030,0.059000,0.928000,0.319000,-6.046000,24.183000,-2.458000,32.15
587223945,0.044000,0.923000,0.322000,-8.458000,22.198000,-1.496000,32.11
587228681,0.058000,0.899000,0.306000,-8.687000,19.969000,-0.061000,32.06
587238234,0.068000,0.897000,0.318000,-8.107000,20.824000,-0.458000,32.20
587248895,0.076000,0.887000,0.318000,-7.420000,21.985000,-1.069000,32.15
587261758,0.073000,0.886000,0.336000,-7.145000,22.031000,-0.870000,32.20
587266610,0.055000,0.909000,0.358000,-6.580000,21.710000,-0.244000,32.20
587277737,0.066000,0.900000,0.303000,-6.718000,20.992000,0.763000,32.06
587286953,0.048000,0.883000,0.303000,-6.794000,19.313000,0.260000,32.11
587296839,0.092000,0.906000,0.328000,-7.466000,16.885000,0.076000,32.15
587303666,0.096000,0.905000,0.328000,-7.771000,16.962000,-0.366000,32.20
587316093,0.076000,0.898000,0.350000,-8.672000,12.382000,-1.847000,32.15
587328938,0.089000,0.894000,0.340000,-9.160000,5.191000,-2.809000,32.11
587339632,0.138000,0.913000,0.314000,-8.290000,4.046000,-4.290000,32.06
587344835,0.066000,0.928000,0.260000,-7.267000,5.679000,-5.832000,32.11
587359240,0.032000,0.957000,0.260000,-8.687000,0.000000,-7.038000,32.15
587368793,0.072000,0.958000,0.295000,-9.557000,-2.473000,-7.145000,32.11
587376270,0.054000,0.960000,0.293000,-9.435000,-2.580000,-6.947000,32.25
587387918,0.090000,0.957000,0.307000,-10.626000,-3.878000,-7.282000,32.11
587398858,0.131000,0.927000,0.303000,-9.969000,-2.565000,-6.977000,32.15
587406687,0.094000,0.965000,0.250000,-10.046000,-2.748000,-7.344000,32.11
587413771,0.126000,0.980000,0.269000,-12.504000,-6.229000,-9.374000,32.15
587431982,0.178000,0.957000,0.299000,-13.908000,-5.374000,-11.359000,32.20
587438853,0.166000,0.952000,0.283000,-14.061000,-2.489000,-14.824000,32.11
587449785,0.156000,0.950000,0.263000,-15.756000,-3.374000,-18.763000,32.11
587458259,0.156000,0.935000,0.253000,-15.832000,-6.229000,-20.855000,32.25
587467709,0.148000,0.907000,0.241000,-13.481000,-5.527000,-21.603000,32.11
587477391,0.131000,0.949000,0.294000,-14.733000,-6.244000,-20.794000,32.15
587488774,0.146000,0.922000,0.305000,-14.031000,-4.229000,-18.275000,32.11
587497756,0.108000,0.917000,0.288000,-12.412000,-1.374000,-14.458000,32.15
587508135,0.076000,0.928000,0.267000,-10.290000,2.504000,-11.267000,32.15
587515817,0.060000,0.954000,0.301000,-8.977000,4.443000,-6.779000,32.20
587527715,0.090000,0.946000,0.308000,-8.962000,1.420000,-1.603000,32.06
587537768,0.175000,0.909000,0.320000,-5.863000,1.924000,1.130000,32.20
587566901,0.183000,0.886000,0.326000,-2.702000,4.901000,2.366000,32.15
587589405,0.182000,0.876000,0.351000,1.710000,2.198000,3.954000,32.01
587594937,0.251000,0.910000,0.417000,4.733000,-0.733000,3.740000,32.15
587597949,0.275000,0.927000,0.450000,8.107000,2.824000,5.252000,32.11
587607003,0.285000,0.928000,0.510000,11.802000,5.160000,9.008000,32.06
587619453,0.320000,0.993000,0.538000,14.046000,6.641000,13.008000,32.11
587627556,0.281000,1.017000,0.459000,15.374000,5.389000,17.695000,32.15
587629608,0.252000,1.003000,0.422000,15.450000,-0.397000,22.183000,32.11
587632032,0.239000,1.056000,0.354000,14.931000,-10.534000,25.939000,32.15
587634017,0.248000,1.032000,0.315000,10.107000,-20.534000,31.298000,32.20
587646226,0.270000,1.036000,0.340000,8.977000,-22.718000,36.733000,32.06
587658424,0.362000,1.144000,0.357000,6.779000,-16.809000,42.427000,32.20
587670710,0.410000,1.152000,0.377000,1.695000,-3.832000,47.237000,32.15
587678160,0.400000,1.258000,0.312000,-2.656000,7.939000,53.344000,32.20
587688269,0.438000,1.256000,0.313000,-10.534000,12.870000,58.473000,32.11
587698577,0.517000,1.231000,0.412000,-16.260000,24.031000,62.168000,32.11
587706781,0.478000,1.276000,0.341000,-20.489000,34.290000,66.305000,32.11
587719157,0.427000,1.267000,0.305000,-26.687000,31.252000,69.878000,32.15
587729613,0.463000,1.292000,0.464000,-35.557000,24.656000,73.145000,32.20
587737401,0.519000,1.240000,0.458000,-40.458000,21.221000,76.550000,32.15
587742916,0.517000,1.196000,0.492000,-44.794000,18.534000,81.450000,32.20
587756342,0.482000,1.228000,0.498000,-46.611000,16.702000,85.908000,32.15
587769472,0.455000,1.271000,0.402000,-51.740000,14.107000,91.389000,32.11
587776395,0.438000,1.292000,0.542000,-60.748000,11.756000,93.527000,32.15
587790925,0.485000,1.278000,0.599000,-67.557000,13.267000,94.489000,32.20
587804960,0.561000,1.151000,0.579000,-71.725000,25.435000,96.061000,32.15
587809803,0.499000,1.155000,0.646000,-73.023000,36.092000,101.649000,32.11
587817315,0.554000,1.198000,0.657000,-86.458000,30.427000,117.130000,32.06
587826754,0.446000,1.123000,0.646000,-85.038000,35.313000,110.748000,32.11
587838482,0.415000,1.132000,0.598000,-91.908000,30.290000,120.305000,32.15
587845043,0.456000,1.147000,0.620000,-96.901000,26.443000,125.099000,32.20
587856800,0.459000,1.067000,0.655000,-102.458000,24.076000,131.618000,32.20
587874458,0.442000,1.021000,0.653000,-105.344000,22.290000,135.008000,32.11
587881333,0.478000,1.040000,0.646000,-108.366000,16.534000,139.618000,32.15
587888313,0.488000,0.987000,0.766000,-111.618000,12.962000,141.221000,32.20
587900395,0.492000,0.975000,0.792000,-115.206000,10.824000,143.145000,32.15
587911471,0.573000,0.935000,0.789000,-117.328000,7.084000,142.550000,32.11
587916981,0.529000,0.960000,0.801000,-118.855000,6.550000,142.672000,32.15
587929787,0.501000,1.023000,0.808000,-122.550000,1.313000,140.412000,32.15
587944347,0.559000,0.955000,0.722000,-123.160000,-2.794000,139.710000,32.11
587947922,0.488000,0.951000,0.816000,-123.435000,-0.824000,138.580000,32.15
587957165,0.477000,0.948000,0.798000,-127.252000,-2.443000,136.580000,32.11
587964273,0.483000,0.897000,0.851000,-128.137000,-5.405000,136.321000,32.15
587981746,0.434000,0.890000,0.764000,-127.725000,-10.153000,134.809000,32.11
587989773,0.468000,0.821000,0.803000,-129.603000,-16.260000,133.420000,32.25
587996146,0.473000,0.827000,0.962000,-131.649000,-18.458000,132.794000,32.11
588007609,0.531000,0.745000,0.955000,-132.962000,-18.366000,129.740000,32.15
588020053,0.484000,0.630000,0.842000,-129.374000,-15.786000,126.305000,32.11
588027089,0.460000,0.683000,0.737000,-124.427000,-18.733000,119.908000,32.25
588038676,0.454000,0.728000,0.677000,-119.908000,-24.046000,112.473000,32.11
588048627,0.452000,0.741000,0.713000,-118.427000,-30.198000,104.275000,32.25
588056880,0.469000,0.654000,0.813000,-118.458000,-36.733000,98.031000,32.11
588063815,0.475000,0.558000,0.854000,-118.641000,-41.817000,96.168000,32.06
588077453,0.494000,0.512000,0.927000,-121.053000,-41.237000,95.374000,32.11
588087195,0.473000,0.525000,0.874000,-122.076000,-38.687000,97.634000,32.06
588095622,0.496000,0.501000,0.869000,-125.115000,-33.069000,98.183000,32.20
588108830,0.454000,0.432000,0.817000,-124.962000,-25.252000,99.924000,32.11
588119401,0.419000,0.371000,0.616000,-121.206000,-19.695000,97.771000,32.20
588128628,0.332000,0.350000,0.532000,-113.954000,-23.725000,94.229000,32.06
588138222,0.323000,0.420000,0.574000,-111.634000,-33.267000,88.611000,32.20
588149167,0.373000,0.305000,0.620000,-109.634000,-42.779000,85.634000,32.25
588157074,0.382000,0.154000,0.577000,-102.595000,-50.504000,83.557000,32.20
588164238,0.401000,0.147000,0.568000,-99.527000,-63.298000,79.832000,32.15
588181470,0.514000,0.130000,0.642000,-95.176000,-64.916000,76.000000,32.11
588188341,0.523000,0.115000,0.594000,-87.786000,-57.725000,73.557000,32.20
588197614,0.498000,0.105000,0.647000,-83.450000,-54.443000,68.840000,32.11
588210215,0.566000,0.041000,0.651000,-79.908000,-49.969000,65.740000,32.20
588218151,0.581000,0.011000,0.597000,-73.557000,-39.206000,64.626000,32.06
588228827,0.537000,-0.020000,0.511000,-65.786000,-29.389000,61.313000,32.11
