t_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
1971293729,-0.695,-0.513,0.132,-3.13,34.901,-1.649,34.13
1971306502,-0.699,-0.506,0.089,-2.183,36.0,-2.519,34.18
1971320166,-0.734,-0.435,0.069,-5.771,33.863,-2.397,34.13
1971326313,-0.75,-0.44,0.1,-7.893,28.0,0.046,34.08
1971331854,-0.716,-0.473,0.109,-9.954,27.588,0.0,34.13
1971346311,-0.729,-0.469,0.101,-8.305,27.557,-0.443,34.13
1971356831,-0.769,-0.481,0.099,-9.298,24.015,1.298,34.18
1971366111,-0.722,-0.482,0.118,-13.191,21.069,1.817,34.08
1971377365,-0.717,-0.493,0.071,-12.183,19.985,3.374,34.18
1971384086,-0.681,-0.538,0.114,-9.954,21.405,0.305,34.13
1971394481,-0.71,-0.533,0.091,-8.183,23.191,1.893,34.27
1971409511,-0.699,-0.549,0.08,-6.351,24.84,0.733,34.04
1971419763,-0.689,-0.549,0.059,-2.931,26.519,-1.511,34.08
1971428603,-0.739,-0.517,0.038,0.107,26.931,-1.145,34.13
1971435541,-0.721,-0.499,0.035,1.542,24.122,-3.618,34.08
1971447821,-0.726,-0.499,0.024,3.969,23.893,-2.412,34.08
1971458139,-0.695,-0.499,0.044,7.42,23.954,-4.412,34.13
1971468093,-0.71,-0.482,0.054,7.176,24.718,-3.588,34.08
1971476406,-0.709,-0.477,0.05,9.221,25.237,-2.977,34.13
1971486501,-0.719,-0.489,0.044,8.855,23.313,-2.26,33.99
1971495591,-0.721,-0.474,0.028,7.969,22.031,-3.313,34.13
1971502514,-0.722,-0.456,0.015,6.412,20.809,-4.092,34.18
1971519978,-0.751,-0.478,0.019,6.748,19.435,-5.328,34.13
1971527280,-0.759,-0.44,0.036,6.122,17.985,-6.031,34.18
1971535739,-0.732,-0.443,0.046,7.252,16.55,-6.382,34.13
1971549285,-0.703,-0.479,0.046,9.282,17.313,-4.198,34.04
1971556459,-0.693,-0.483,0.026,9.359,17.649,-5.267,34.18
1971565977,-0.718,-0.441,0.032,8.763,16.107,-4.611,34.04
1971576251,-0.703,-0.44,0.025,5.374,14.443,-4.58,34.18
